invoiceId,CodeSeq
541518,"21212,22432,22907,85054,22859,22554,21195,22973,22661,22037,21086,22451,22029,21499,22556,21524,21154,22431,22629,84520B,21731,22474,79191C,22744,22972,22243,22504,21094,22858,21080,21881,20685,22743,22098,22212,22378,20718,82613D,20712,21592,21156,21078,82613B,85049G,22857,85099B,21982,10002,22613,20724,21507,21042,20728,22449,22090,22908,21498,22847,21217,22417,21981,22326,85049D,22845,21883,22099,21439,18007,22951,85049E,22027,85014B,22411,20717,90114,21429,85014A,22716,20726,84796B,21035,21989,35241,21880,22983,90108,22367,84012,20719,21918,22844,22551,40016,22975,21209,16169K,20750,85049H,22074,21428,85099F"
566431,"22734,22739,22910,23349,23378,23437,23157,23353,23351,23352,23376,21098,23373,23354,23375,22737,22591,22086"
576059,"21713,23581,22939,22428,21756,23583,21754,21524,21154,22898,22120,21929,22411,23468,23148,23106,22669,23209,20685,21755,21035,48187,21621,22668,21155,22895,21523,23107,22990,23206,21714,23298,22795,23466,85099B,22897,23681,22896,85099F,48173C,84880,85099C"
578057,"23008,22197,23356,21889,82482,21367,23117,22630,23196,22895,21368,22726,23411,23232,21481,22629,23007,22815,23233,22727,82494L,21888,17003,21912,23114,23115,22840"
580906,"35970,23569,21137,23196"
540499,"22697,22796,21755,22604,22639,22625,21868,21894,22699,21754,22148,22626,22624,21257,21259,84978,21175,22356,22627,22423,21080,85066"
540540,"22111,22834,22625,22554,21868,22555,22837,22557,21547,22556,22729,22726,22431,22442,22551,22970,22624,22727,21875,21877,22443,22752"
542026,"22398,22194,22197,82600,22360,22193,22399,21754,22192"
544303,"84596L,22931,84596E,20857,22557,21975,84991,84596F,84520B,21354,85123A,20856,22965,22722,20854,47567B,84380,48185,22147,21976,22197,84509A,22989,48138,82482,84378,84510A,84596J,22139,22993,22964,22980,22551,84596B,22822,82494L,84968C,22660,22978,21977,22930"
550617,"20725,22617,84378,21155,84970S,22367,21154,23206,21156,20975,22411,21934,84970L,22356,22423,C2,22138,21936,21042,22669,20974"
552277,"22428,21246,20754,22191,22904,22439,21900,22894,22900,22374,22199,22332,21865,22480,20685,21124,35004B,22895,23077,21592,22185,23184,22766,22429,21034,22066,22035,22360,22602,22606,21586,21169,22607,21327,21864,21121,22384,84596F,22109,21172,22371,84978,22333,20886,22440,21035,20727,22488,22713,22926,21714,21905,22846,22435,21899,22636,21713"
552852,"21212,22659,22515,22984,22424,21467,23049,22522,21716,21561,22629,21509,21471,22900,23054,21936,22518,22516,22138,22501,23209,21715,22662,20725,21937,21470,23053,21155,23206,22382,22520,21034,22631,22635,22523,21507,21977,21718,23050,22979,22899,22898,22502,22716,20726,21508,23052,22989,20727,23207,22630,22691,23051,22367,22352,22980,22514,22721"
553738,"23203,48187,23207,23199,23283,23202,23201,23206,23200,23208,84879,48184,22896,23209"
558700,"21245,22554,22953,22439,22555,22557,22923,20723,22556,21166,22437,22115,22332,21221,21935,10125,21213,20978,22197,21171,21726,21544,23208,21833,21034,22897,20676,20728,21243,22413,22915,20675,21169,21908,23158,22418,23205,21242,21172,22553,22333,22412,23238,20677,22440,23154,21179,21222,82567,20727,22621,23156,21907,23204,22551,20977,22355,20719,82600,21244,21224,23159,21905,20674,84596B,21175,22998,21967"
563020,"22051,22663,22046,23203,23360,22385,22708,22386,22309,21928,22029,22979,22712,22223,22221,20712,22045,21424,16156S,POST,85099B,84536A,21500,21216"
567163,"84380,23307,22907,23245,22617,23234,22952,22733,22899,22909,35911A,22367,22898,22138"
574844,"22471,23512,90162B,90162A,84509A,POST,23514,23109,47518F,22476,22736,23511,23108"
